dataset,file_name,class_label,split,path
idrid,IDRiD_014test.jpg,4,test,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_014test.jpg
idrid,IDRiD_015.jpg,4,train,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_015.jpg
idrid,IDRiD_015test.jpg,4,test,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_015test.jpg
idrid,IDRiD_016.jpg,2,val,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_016.jpg
idrid,IDRiD_016test.jpg,2,test,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_016test.jpg
idrid,IDRiD_017.jpg,4,val,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_017.jpg
idrid,IDRiD_017test.jpg,4,test,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_017test.jpg
idrid,IDRiD_018.jpg,2,train,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_018.jpg
idrid,IDRiD_018test.jpg,2,test,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_018test.jpg
idrid,IDRiD_019.jpg,2,train,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_019.jpg
idrid,IDRiD_019test.jpg,2,test,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_019test.jpg
idrid,IDRiD_020.jpg,2,train,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_020.jpg
idrid,IDRiD_020test.jpg,2,test,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_020test.jpg
idrid,IDRiD_022.jpg,4,train,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_022.jpg
idrid,IDRiD_022test.jpg,4,test,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_022test.jpg
idrid,IDRiD_023.jpg,3,train,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_023.jpg
idrid,IDRiD_023test.jpg,3,test,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_023test.jpg
idrid,IDRiD_024.jpg,4,train,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_024.jpg
idrid,IDRiD_024test.jpg,4,test,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_024test.jpg
idrid,IDRiD_025.jpg,3,train,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_025.jpg
idrid,IDRiD_025test.jpg,3,test,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_025test.jpg
idrid,IDRiD_026.jpg,3,val,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_026.jpg
idrid,IDRiD_026test.jpg,3,test,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_026test.jpg
idrid,IDRiD_027.jpg,4,train,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_027.jpg
idrid,IDRiD_027test.jpg,4,test,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_027test.jpg
idrid,IDRiD_028.jpg,4,train,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_028.jpg
idrid,IDRiD_028test.jpg,4,test,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_028test.jpg
idrid,IDRiD_029.jpg,2,train,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_029.jpg
idrid,IDRiD_029test.jpg,2,test,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_029test.jpg
idrid,IDRiD_030.jpg,4,train,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_030.jpg
idrid,IDRiD_030test.jpg,4,test,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_030test.jpg
idrid,IDRiD_031.jpg,4,train,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_031.jpg
idrid,IDRiD_031test.jpg,4,test,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_031test.jpg
idrid,IDRiD_032.jpg,4,train,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_032.jpg
idrid,IDRiD_032test.jpg,4,test,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_032test.jpg
idrid,IDRiD_033.jpg,4,train,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_033.jpg
idrid,IDRiD_033test.jpg,4,test,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_033test.jpg
idrid,IDRiD_034.jpg,3,train,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_034.jpg
idrid,IDRiD_034test.jpg,3,test,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_034test.jpg
idrid,IDRiD_035.jpg,3,train,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_035.jpg
idrid,IDRiD_035test.jpg,3,test,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_035test.jpg
idrid,IDRiD_037.jpg,2,val,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_037.jpg
idrid,IDRiD_037test.jpg,2,test,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_037test.jpg
idrid,IDRiD_038.jpg,2,train,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_038.jpg
idrid,IDRiD_038test.jpg,2,test,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_038test.jpg
idrid,IDRiD_039.jpg,3,train,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_039.jpg
idrid,IDRiD_040.jpg,3,train,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_040.jpg
idrid,IDRiD_040test.jpg,3,test,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_040test.jpg
idrid,IDRiD_041.jpg,2,train,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_041.jpg
idrid,IDRiD_042.jpg,2,val,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_042.jpg
idrid,IDRiD_042test.jpg,2,test,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_042test.jpg
idrid,IDRiD_043.jpg,2,train,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_043.jpg
idrid,IDRiD_044.jpg,2,train,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_044.jpg
idrid,IDRiD_044test.jpg,2,test,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_044test.jpg
idrid,IDRiD_045.jpg,2,val,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_045.jpg
idrid,IDRiD_046.jpg,4,train,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_046.jpg
idrid,IDRiD_047.jpg,2,train,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_047.jpg
idrid,IDRiD_048.jpg,2,train,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_048.jpg
idrid,IDRiD_048test.jpg,2,test,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_048test.jpg
idrid,IDRiD_049.jpg,3,train,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_049.jpg
idrid,IDRiD_049test.jpg,3,test,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_049test.jpg
idrid,IDRiD_050.jpg,2,train,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_050.jpg
idrid,IDRiD_051.jpg,2,val,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_051.jpg
idrid,IDRiD_051test.jpg,2,test,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_051test.jpg
idrid,IDRiD_052.jpg,2,train,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_052.jpg
idrid,IDRiD_053.jpg,4,train,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_053.jpg
idrid,IDRiD_053test.jpg,4,test,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_053test.jpg
idrid,IDRiD_054.jpg,4,train,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_054.jpg
idrid,IDRiD_055.jpg,3,train,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_055.jpg
idrid,IDRiD_055test.jpg,3,test,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_055test.jpg
idrid,IDRiD_056.jpg,2,val,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_056.jpg
idrid,IDRiD_057.jpg,3,val,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_057.jpg
idrid,IDRiD_057test.jpg,3,test,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_057test.jpg
idrid,IDRiD_058.jpg,2,train,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_058.jpg
idrid,IDRiD_058test.jpg,2,test,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_058test.jpg
idrid,IDRiD_059.jpg,2,train,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_059.jpg
idrid,IDRiD_059test.jpg,2,test,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_059test.jpg
idrid,IDRiD_060.jpg,2,train,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_060.jpg
idrid,IDRiD_060test.jpg,2,test,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_060test.jpg
idrid,IDRiD_061.jpg,2,val,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_061.jpg
idrid,IDRiD_061test.jpg,2,test,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_061test.jpg
idrid,IDRiD_062.jpg,4,train,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_062.jpg
idrid,IDRiD_062test.jpg,4,test,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_062test.jpg
idrid,IDRiD_063.jpg,2,train,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_063.jpg
idrid,IDRiD_063test.jpg,2,test,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_063test.jpg
idrid,IDRiD_064.jpg,2,train,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_064.jpg
idrid,IDRiD_064test.jpg,2,test,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_064test.jpg
idrid,IDRiD_065.jpg,3,train,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_065.jpg
idrid,IDRiD_065test.jpg,3,test,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_065test.jpg
idrid,IDRiD_066.jpg,3,val,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_066.jpg
idrid,IDRiD_066test.jpg,3,test,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_066test.jpg
idrid,IDRiD_067.jpg,4,train,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_067.jpg
idrid,IDRiD_067test.jpg,4,test,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_067test.jpg
idrid,IDRiD_068.jpg,2,train,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_068.jpg
idrid,IDRiD_068test.jpg,2,test,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_068test.jpg
idrid,IDRiD_069.jpg,2,train,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_069.jpg
idrid,IDRiD_069test.jpg,2,test,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_069test.jpg
idrid,IDRiD_070.jpg,4,train,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_070.jpg
idrid,IDRiD_071.jpg,2,val,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_071.jpg
idrid,IDRiD_072.jpg,2,val,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_072.jpg
idrid,IDRiD_072test.jpg,2,test,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_072test.jpg
idrid,IDRiD_073.jpg,2,train,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_073.jpg
idrid,IDRiD_073test.jpg,2,test,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_073test.jpg
idrid,IDRiD_074.jpg,2,train,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_074.jpg
idrid,IDRiD_074test.jpg,2,test,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_074test.jpg
idrid,IDRiD_075.jpg,3,train,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_075.jpg
idrid,IDRiD_076.jpg,2,train,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_076.jpg
idrid,IDRiD_076test.jpg,2,test,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_076test.jpg
idrid,IDRiD_077.jpg,3,train,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_077.jpg
idrid,IDRiD_078.jpg,2,val,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_078.jpg
idrid,IDRiD_078test.jpg,2,test,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_078test.jpg
idrid,IDRiD_079.jpg,1,train,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_079.jpg
idrid,IDRiD_079test.jpg,1,test,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_079test.jpg
idrid,IDRiD_080.jpg,2,val,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_080.jpg
idrid,IDRiD_080test.jpg,2,test,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_080test.jpg
idrid,IDRiD_081.jpg,4,train,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_081.jpg
idrid,IDRiD_081test.jpg,4,test,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_081test.jpg
idrid,IDRiD_082.jpg,2,train,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_082.jpg
idrid,IDRiD_082test.jpg,2,test,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_082test.jpg
idrid,IDRiD_083.jpg,2,train,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_083.jpg
idrid,IDRiD_083test.jpg,2,test,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_083test.jpg
idrid,IDRiD_084.jpg,2,train,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_084.jpg
idrid,IDRiD_084test.jpg,2,test,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_084test.jpg
idrid,IDRiD_085.jpg,2,train,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_085.jpg
idrid,IDRiD_085test.jpg,2,test,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_085test.jpg
idrid,IDRiD_086.jpg,4,train,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_086.jpg
idrid,IDRiD_086test.jpg,4,test,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_086test.jpg
idrid,IDRiD_087.jpg,2,val,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_087.jpg
idrid,IDRiD_087test.jpg,2,test,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_087test.jpg
idrid,IDRiD_088.jpg,3,train,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_088.jpg
idrid,IDRiD_088test.jpg,3,test,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_088test.jpg
idrid,IDRiD_089.jpg,4,train,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_089.jpg
idrid,IDRiD_089test.jpg,4,test,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_089test.jpg
idrid,IDRiD_090.jpg,4,train,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_090.jpg
idrid,IDRiD_090test.jpg,4,test,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_090test.jpg
idrid,IDRiD_091.jpg,2,train,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_091.jpg
idrid,IDRiD_091test.jpg,2,test,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_091test.jpg
idrid,IDRiD_092.jpg,2,train,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_092.jpg
idrid,IDRiD_093.jpg,2,train,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_093.jpg
idrid,IDRiD_094.jpg,2,train,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_094.jpg
idrid,IDRiD_095.jpg,3,val,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_095.jpg
idrid,IDRiD_096.jpg,4,train,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_096.jpg
idrid,IDRiD_096test.jpg,4,test,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_096test.jpg
idrid,IDRiD_097.jpg,2,train,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_097.jpg
idrid,IDRiD_098.jpg,4,train,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_098.jpg
idrid,IDRiD_099.jpg,4,train,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_099.jpg
idrid,IDRiD_100.jpg,4,train,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_100.jpg
idrid,IDRiD_100test.jpg,4,test,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_100test.jpg
idrid,IDRiD_101.jpg,3,train,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_101.jpg
idrid,IDRiD_101test.jpg,3,test,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_101test.jpg
idrid,IDRiD_102.jpg,2,train,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_102.jpg
idrid,IDRiD_102test.jpg,2,test,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_102test.jpg
idrid,IDRiD_103.jpg,2,train,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_103.jpg
idrid,IDRiD_103test.jpg,2,test,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_103test.jpg
idrid,IDRiD_104.jpg,4,val,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_104.jpg
idrid,IDRiD_105.jpg,1,train,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_105.jpg
idrid,IDRiD_106.jpg,2,train,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_106.jpg
idrid,IDRiD_107.jpg,2,val,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_107.jpg
idrid,IDRiD_108.jpg,3,train,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_108.jpg
idrid,IDRiD_109.jpg,2,train,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_109.jpg
idrid,IDRiD_111.jpg,4,val,/Users/an.s.babenko/Desktop/notebooks ipynb/idrid/Imagenes/Imagenes/IDRiD_111.jpg
